Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2019-05-01,"Rowing, stationary, moderate effort",Cardio,625.0,70,,,,,
2019-05-02,"Rowing, stationary, moderate effort",Cardio,126.0,11,,,,,
2019-05-02,"Strength training (weight lifting, weight training)",Cardio,488.0,64,,,,,
2019-05-02,"Walking, 3.0 mph, mod. pace",Cardio,194.0,39,,,,,
2019-05-04,"Bicycling, <10 mph, leisure (cycling, biking, bike riding)",Cardio,369.0,34,,,,,
2019-05-04,"Walking, 3.5 mph, brisk pace",Cardio,210.0,41,,,,,
2019-05-06,"Aerobics, general",Cardio,437.0,44,,,,,
2019-05-06,"Walking, 3.5 mph, brisk pace",Cardio,215.0,35,,,,,
2019-05-07,"Strength training (weight lifting, weight training)",Cardio,305.0,59,,,,,
2019-05-08,"Rowing, stationary, moderate effort",Cardio,555.0,60,,,,,
2019-05-08,"Walking, 3.0 mph, mod. pace",Cardio,195.0,45,,,,,
2019-05-09,Elliptical Trainer,Cardio,504.0,60,,,,,
2019-05-09,"Strength training (weight lifting, weight training)",Cardio,257.0,41,,,,,
2019-05-09,"Walking, 3.0 mph, mod. pace",Cardio,135.0,27,,,,,
2019-05-10,"Rowing, stationary, moderate effort",Cardio,137.0,15,,,,,
2019-05-10,"Running (jogging), 5 mph (12 min mile)",Cardio,358.0,35,,,,,
2019-05-11,"Walking, 3.0 mph, mod. pace",Cardio,218.0,41,,,,,
2019-05-13,"Stair-treadmill ergometer, general",Cardio,429.0,41,,,,,
2019-05-13,"Strength training (weight lifting, weight training)",Cardio,314.0,59,,,,,
2019-05-13,"Walking, 3.5 mph, brisk pace",Cardio,206.0,37,,,,,
2019-05-14,"Rowing, stationary, moderate effort",Cardio,338.0,32,,,,,
2019-05-14,"Walking, 3.0 mph, mod. pace",Cardio,143.0,29,,,,,
2019-05-15,"Running (jogging), 5 mph (12 min mile)",Cardio,403.0,42,,,,,
2019-05-15,"Walking, 3.5 mph, brisk pace",Cardio,208.0,37,,,,,
2019-05-16,"Running (jogging), 5 mph (12 min mile)",Cardio,183.0,20,,,,,
2019-05-16,"Strength training (weight lifting, weight training)",Cardio,397.0,71,,,,,
2019-05-17,"Rowing, stationary, moderate effort",Cardio,294.0,32,,,,,
2019-05-17,"Running (jogging), 5 mph (12 min mile)",Cardio,274.0,28,,,,,
2019-05-17,"Walking, 3.5 mph, brisk pace",Cardio,103.0,19,,,,,
2019-05-18,"Hiking, cross country",Cardio,880.0,130,,,,,
2019-05-19,"Hiking, cross country",Cardio,1071.0,182,,,,,
2019-05-19,"Hiking, cross country",Cardio,58.0,7,,,,,
2019-05-20,"Walking, 3.5 mph, brisk pace",Cardio,181.0,34,,,,,
2019-05-21,"Strength training (weight lifting, weight training)",Cardio,479.0,77,,,,,
2019-05-21,"Walking, 3.5 mph, brisk pace",Cardio,212.0,37,,,,,
2019-05-22,"Rowing, stationary, moderate effort",Cardio,380.0,37,,,,,
2019-05-22,"Running (jogging), 5 mph (12 min mile)",Cardio,296.0,32,,,,,
2019-05-23,"Running (jogging), 5 mph (12 min mile)",Cardio,425.0,40,,,,,
2019-05-23,"Strength training (weight lifting, weight training)",Cardio,335.0,73,,,,,
2019-05-24,"Running (jogging), 5 mph (12 min mile)",Cardio,492.0,56,,,,,
2019-05-27,"Strength training (weight lifting, weight training)",Cardio,304.0,56,,,,,
2019-05-27,"Walking, 2.5 mph, leisurely pace",Cardio,222.0,47,,,,,
2019-05-28,"Rowing, stationary, moderate effort",Cardio,196.0,23,,,,,
2019-05-28,"Running (jogging), 5 mph (12 min mile)",Cardio,303.0,38,,,,,
2019-05-29,"Stair-treadmill ergometer, general",Cardio,528.0,43,,,,,
2019-05-29,"Walking, 2.5 mph, leisurely pace",Cardio,205.0,46,,,,,
2019-05-29,"Walking, 3.5 mph, brisk pace",Cardio,100.0,18,,,,,
2019-05-30,"Running (jogging), 5 mph (12 min mile)",Cardio,246.0,26,,,,,
2019-05-30,"Strength training (weight lifting, weight training)",Cardio,413.0,69,,,,,
2019-05-31,"Rowing, stationary, moderate effort",Cardio,294.0,30,,,,,
2019-05-31,"Running (jogging), 5 mph (12 min mile)",Cardio,98.0,13,,,,,
2019-05-31,"Running (jogging), 5 mph (12 min mile)",Cardio,201.0,21,,,,,
2019-06-01,"Hiking, cross country",Cardio,2187.0,425,,,,,
2019-06-02,"Rowing, stationary, moderate effort",Cardio,240.0,30,,,,,
2019-06-04,"Running (jogging), 5 mph (12 min mile)",Cardio,277.0,31,,,,,
2019-06-04,"Stair-treadmill ergometer, general",Cardio,414.0,37,,,,,
2019-06-04,"Walking, 2.0 mph, slow pace",Cardio,307.0,68,,,,,
2019-06-05,"Rowing, stationary, moderate effort",Cardio,280.0,29,,,,,
2019-06-05,"Stair-treadmill ergometer, general",Cardio,444.0,37,,,,,
2019-06-05,"Strength training (weight lifting, weight training)",Cardio,436.0,63,,,,,
2019-06-05,"Walking, 3.5 mph, brisk pace",Cardio,138.0,26,,,,,
2019-06-06,"Running (jogging), 5 mph (12 min mile)",Cardio,430.0,48,,,,,
2019-06-07,"Running (jogging), 5 mph (12 min mile)",Cardio,330.0,42,,,,,
2019-06-09,"Stair-treadmill ergometer, general",Cardio,713.0,60,,,,,
2019-06-09,"Walking, 2.5 mph, leisurely pace",Cardio,268.0,50,,,,,
2019-06-10,"Rowing, stationary, moderate effort",Cardio,255.0,30,,,,,
2019-06-11,"Running (jogging), 5 mph (12 min mile)",Cardio,262.0,37,,,,,
2019-06-11,"Stair-treadmill ergometer, general",Cardio,172.0,13,,,,,
2019-06-12,"Strength training (weight lifting, weight training)",Cardio,279.0,46,,,,,
